user_id,gender,age,occupation,zip_code,movie_id,rating,user_movie_rank,movie_title,movie_genres
1,F,1,10,48067,1,5,1,Toy Story (1995),Animation|Children's|Comedy
1,F,1,10,48067,48,5,2,Pocahontas (1995),Animation|Children's|Musical|Romance
1,F,1,10,48067,150,5,3,Apollo 13 (1995),Drama
2,M,56,16,70072,110,5,1,Braveheart (1995),Action|Drama|War
2,M,56,16,70072,318,5,2,"Shawshank Redemption, The (1994)",Drama
2,M,56,16,70072,356,5,3,Forrest Gump (1994),Comedy|Romance|War
3,M,25,15,55117,260,5,1,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
3,M,25,15,55117,733,5,2,"Rock, The (1996)",Action|Adventure|Thriller
3,M,25,15,55117,1079,5,3,"Fish Called Wanda, A (1988)",Comedy
4,M,45,7,02460,260,5,1,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
4,M,45,7,02460,1198,5,2,Raiders of the Lost Ark (1981),Action|Adventure
4,M,45,7,02460,1201,5,3,"Good, The Bad and The Ugly, The (1966)",Action|Western
5,M,25,20,55455,29,5,1,"City of Lost Children, The (1995)",Adventure|Sci-Fi
5,M,25,20,55455,50,5,2,"Usual Suspects, The (1995)",Crime|Thriller
5,M,25,20,55455,913,5,3,"Maltese Falcon, The (1941)",Film-Noir|Mystery
6,F,50,9,55117,48,5,1,Pocahontas (1995),Animation|Children's|Musical|Romance
6,F,50,9,55117,199,5,2,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
6,F,50,9,55117,597,5,3,Pretty Woman (1990),Comedy|Romance
7,M,35,1,06810,110,5,1,Braveheart (1995),Action|Drama|War
7,M,35,1,06810,349,5,2,Clear and Present Danger (1994),Action|Adventure|Thriller
7,M,35,1,06810,380,5,3,True Lies (1994),Action|Adventure|Comedy|Romance
8,M,25,12,11413,25,5,1,Leaving Las Vegas (1995),Drama|Romance
8,M,25,12,11413,58,5,2,"Postino, Il (The Postman) (1994)",Drama|Romance
8,M,25,12,11413,110,5,3,Braveheart (1995),Action|Drama|War
9,M,25,17,61614,1,5,1,Toy Story (1995),Animation|Children's|Comedy
9,M,25,17,61614,47,5,2,Seven (Se7en) (1995),Crime|Thriller
9,M,25,17,61614,318,5,3,"Shawshank Redemption, The (1994)",Drama
10,F,35,1,95370,1,5,1,Toy Story (1995),Animation|Children's|Comedy
